"Education","Marital_Status","customer_count"
"2n Cycle",Married,81
"2n Cycle",Together,57
"2n Cycle",Single,37
"2n Cycle",Divorced,23
"2n Cycle",Widow,5
Basic,Married,20
Basic,Single,18
Basic,Together,14
Basic,Widow,1
Basic,Divorced,1
Graduation,Married,433
Graduation,Together,286
Graduation,Single,253
Graduation,Divorced,119
Graduation,Widow,35
Master,Married,138
Master,Together,106
Master,Single,76
Master,Divorced,37
Master,Widow,12
PhD,Married,192
PhD,Together,117
PhD,Single,99
PhD,Divorced,52
PhD,Widow,24
