ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Age,Age_Group,Recency,Complain, MntWines , MntFruits , MntMeatProducts , MntFishProducts , MntSweetProducts , MntGoldProds ,NumDealsPurchases,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,Response_Total,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,,
0,1985,Graduation,Married,"$70,951.00 ",0,0,4/5/13,41,36-45,66,0,$239.00 ,$10.00 ,$554.00 ,$254.00 ,$87.00 ,$54.00 ,1,0,0,0,0,0,0,0,3,4,9,1,,
1,1961,Graduation,Single,"$57,091.00 ",0,0,6/15/14,65,56+,0,0,$464.00 ,$5.00 ,$64.00 ,$7.00 , $-   ,$37.00 ,1,0,1,0,0,0,1,2,7,3,7,5,,
9,1975,Master,Single,"$46,098.00 ",1,1,8/18/12,51,46-55,86,0,$57.00 , $-   ,$27.00 , $-   , $-   ,$36.00 ,4,0,0,0,0,0,0,0,3,2,2,8,,
13,1947,PhD,Widow,"$25,358.00 ",0,1,7/22/13,79,56+,57,0,$19.00 , $-   ,$5.00 , $-   , $-   ,$8.00 ,2,0,0,0,0,0,0,0,1,0,3,6,,
17,1971,PhD,Married,"$60,491.00 ",0,1,6/9/13,55,46-55,81,0,$637.00 ,$47.00 ,$237.00 ,$12.00 ,$19.00 ,$76.00 ,4,0,0,0,0,0,0,0,6,11,7,5,,
20,1965,2n Cycle,Married,"$46,891.00 ",0,1,1/9/13,61,56+,91,0,$43.00 ,$12.00 ,$23.00 ,$29.00 ,$15.00 ,$61.00 ,1,0,0,0,0,0,0,0,2,1,4,4,,
22,1976,Graduation,Divorced,"$46,310.00 ",1,0,3/12/12,50,46-55,99,0,$185.00 ,$2.00 ,$88.00 ,$15.00 ,$5.00 ,$14.00 ,2,0,0,0,0,0,0,0,6,1,5,8,,
24,1960,Master,Together,"$17,144.00 ",1,1,2/15/14,66,56+,96,0,$18.00 ,$2.00 ,$19.00 , $-   ,$2.00 ,$6.00 ,5,0,0,0,0,0,0,0,3,0,4,7,,
25,1958,Graduation,Married,"$65,148.00 ",0,1,11/16/12,68,56+,9,0,$460.00 ,$35.00 ,$422.00 ,$33.00 ,$12.00 ,$153.00 ,2,0,0,0,0,0,0,0,6,6,7,4,,
35,1987,Graduation,Married,"$25,545.00 ",1,0,8/9/12,39,36-45,35,0,$32.00 ,$1.00 ,$64.00 ,$16.00 ,$12.00 ,$85.00 ,3,0,0,0,0,0,1,1,2,2,3,6,,
48,1964,Graduation,Together,"$55,761.00 ",0,1,4/24/14,62,56+,97,0,$136.00 ,$1.00 ,$12.00 , $-   ,$3.00 ,$32.00 ,2,0,0,0,1,0,0,1,4,1,3,6,,
49,1970,Graduation,Single,"$20,587.00 ",1,0,11/5/14,56,56+,39,0,$2.00 ,$3.00 ,$6.00 ,$4.00 ,$1.00 ,$9.00 ,1,0,0,0,0,0,0,0,1,1,2,7,,
55,1963,Graduation,Together,"$56,253.00 ",0,1,7/12/12,63,56+,83,0,$509.00 , $-   ,$65.00 ,$7.00 ,$11.00 ,$5.00 ,4,0,0,0,0,0,0,0,7,2,9,6,,
67,1972,Master,Single,"$46,423.00 ",1,1,9/18/13,54,46-55,6,0,$68.00 , $-   ,$16.00 , $-   , $-   ,$8.00 ,3,0,0,0,0,0,0,0,2,0,4,7,,
73,1953,PhD,Single,"$51,411.00 ",1,2,5/26/13,73,56+,81,0,$14.00 , $-   ,$3.00 , $-   , $-   ,$1.00 ,1,0,0,0,0,0,0,0,0,0,3,5,,
75,1982,2n Cycle,Together,"$41,039.00 ",0,0,7/25/13,44,36-45,32,0,$34.00 ,$11.00 ,$137.00 ,$179.00 ,$61.00 ,$45.00 ,1,0,0,0,0,0,0,0,8,1,5,8,,
78,1969,Graduation,Married,"$25,293.00 ",1,0,9/15/13,57,56+,51,0,$15.00 , $-   ,$11.00 , $-   ,$2.00 ,$9.00 ,1,0,0,0,0,0,0,0,1,1,2,8,,
87,1981,2n Cycle,Married,"$27,733.00 ",1,0,8/26/13,45,36-45,16,0, $-   ,$7.00 ,$5.00 ,$26.00 ,$2.00 ,$17.00 ,2,0,0,0,0,0,0,0,2,0,3,7,,
89,1975,2n Cycle,Married,"$22,212.00 ",1,0,9/12/13,51,46-55,49,0,$5.00 ,$9.00 ,$20.00 ,$6.00 ,$8.00 ,$21.00 ,2,0,0,0,0,0,0,0,2,0,4,6,,
92,1988,Graduation,Single,"$34,176.00 ",1,0,12/5/14,38,36-45,12,0,$5.00 ,$7.00 ,$24.00 ,$19.00 ,$14.00 ,$20.00 ,4,0,0,0,0,0,0,0,3,0,4,6,,
113,1951,Graduation,Married,"$30,833.00 ",1,1,7/16/13,75,56+,33,0,$11.00 , $-   ,$7.00 ,$3.00 ,$1.00 ,$6.00 ,2,0,0,0,0,0,0,0,1,0,3,5,,
115,1966,Master,Single,"$43,456.00 ",0,1,3/26/13,60,56+,0,0,$275.00 ,$11.00 ,$68.00 ,$25.00 ,$7.00 ,$7.00 ,3,0,0,0,0,0,0,0,5,1,8,5,,
123,1951,Graduation,Widow,"$67,046.00 ",0,1,6/1/13,75,56+,92,0,$544.00 ,$35.00 ,$133.00 ,$23.00 ,$151.00 ,$107.00 ,2,0,0,0,0,0,0,0,4,5,4,2,,
125,1958,2n Cycle,Together,"$53,083.00 ",1,1,5/15/13,68,56+,65,0,$215.00 ,$7.00 ,$33.00 ,$3.00 , $-   ,$13.00 ,6,0,0,0,1,0,0,1,5,1,5,7,,
143,1970,Graduation,Single,"$61,209.00 ",0,0,8/25/13,56,56+,73,0,$466.00 , $-   ,$224.00 ,$119.00 ,$49.00 ,$99.00 ,1,0,0,0,0,0,0,0,5,3,4,2,,
146,1960,PhD,Single,"$76,045.00 ",0,0,11/15/13,66,56+,78,0,$760.00 ,$53.00 ,$400.00 ,$17.00 ,$93.00 , $-   ,1,1,0,0,0,0,0,1,4,5,11,2,,
153,1953,Graduation,Divorced,"$23,272.00 ",0,0,10/17/13,73,56+,29,0,$19.00 ,$3.00 ,$6.00 ,$4.00 ,$2.00 ,$12.00 ,1,0,0,0,0,0,0,0,1,0,3,4,,
158,1945,PhD,Together,"$71,604.00 ",0,0,11/17/13,81,56+,3,0,$345.00 ,$53.00 ,$528.00 ,$98.00 ,$75.00 ,$97.00 ,1,0,0,1,0,0,1,2,8,3,5,4,,
164,1977,PhD,Married,"$28,973.00 ",0,0,10/13/12,49,46-55,59,0,$206.00 , $-   ,$46.00 ,$3.00 ,$2.00 ,$12.00 ,2,0,0,0,0,0,0,0,5,1,5,8,,
175,1986,Graduation,Married,"$71,952.00 ",1,0,10/1/13,40,36-45,93,0,$656.00 ,$80.00 ,$455.00 ,$52.00 ,$107.00 ,$93.00 ,2,0,0,1,0,1,0,2,8,4,8,4,,
176,1980,2n Cycle,Single,"$67,506.00 ",0,1,2/1/14,46,46-55,73,0,$90.00 ,$38.00 ,$67.00 ,$33.00 ,$36.00 ,$67.00 ,1,0,0,0,0,0,0,0,4,1,6,3,,
178,1956,Graduation,Married,"$62,503.00 ",0,1,2/18/13,70,56+,40,0,$478.00 , $-   ,$193.00 ,$110.00 ,$75.00 ,$117.00 ,4,0,0,0,0,0,0,0,8,3,11,5,,
182,1946,PhD,Together,"$44,124.00 ",0,1,11/5/13,80,56+,62,0,$284.00 , $-   ,$55.00 , $-   ,$6.00 ,$52.00 ,4,0,0,0,0,0,0,0,6,2,5,8,,
193,1996,Basic,Married,"$14,421.00 ",0,0,2/17/14,30,26-35,81,0, $-   , $-   ,$2.00 ,$3.00 ,$3.00 ,$8.00 ,1,0,0,1,0,0,0,1,1,0,2,5,,
194,1965,Graduation,Married,"$48,006.00 ",1,1,9/6/14,61,56+,55,0,$23.00 , $-   ,$11.00 ,$3.00 ,$2.00 ,$2.00 ,1,0,0,0,0,0,0,0,1,0,3,6,,
195,1972,Graduation,Single,"$38,808.00 ",1,0,8/26/12,54,46-55,21,0,$125.00 ,$17.00 ,$52.00 ,$3.00 ,$19.00 ,$30.00 ,4,0,0,1,0,0,1,2,5,1,4,8,,
199,1962,Master,Single,"$45,183.00 ",0,0,1/20/13,64,56+,33,0,$219.00 ,$3.00 ,$60.00 ,$12.00 ,$9.00 ,$12.00 ,1,0,0,0,1,0,0,1,4,1,7,7,,
202,1948,PhD,Widow,"$82,032.00 ",0,0,5/4/14,78,56+,54,0,$332.00 ,$194.00 ,$377.00 ,$149.00 ,$125.00 ,$57.00 ,0,0,0,0,0,0,0,0,4,6,7,1,,
203,1975,Master,Single,"$81,169.00 ",0,0,4/14/13,51,46-55,47,0,"$1,288.00 ",$20.00 ,$613.00 ,$80.00 ,$61.00 ,$27.00 ,1,0,0,0,0,0,0,0,5,7,9,2,,
213,1963,PhD,Single,"$23,091.00 ",1,1,5/28/14,63,56+,98,0,$35.00 , $-   ,$11.00 , $-   , $-   ,$2.00 ,4,0,0,0,0,0,0,0,2,1,3,7,,
217,1956,Master,Single,"$64,857.00 ",0,0,11/23/12,70,56+,78,0,$556.00 ,$14.00 ,$717.00 ,$210.00 , $-   ,$43.00 ,1,0,0,0,0,0,0,0,7,5,10,4,,
221,1955,Graduation,Married,"$48,726.00 ",0,1,4/27/13,71,56+,90,0,$138.00 ,$3.00 ,$38.00 ,$4.00 , $-   ,$59.00 ,3,0,0,0,0,0,0,0,3,2,4,6,,
231,1956,Master,Together,"$28,839.00 ",1,1,11/3/14,70,56+,86,0,$24.00 , $-   ,$7.00 , $-   , $-   ,$1.00 ,2,0,0,0,0,0,0,0,2,0,3,5,,
232,1965,Graduation,Single,"$61,559.00 ",0,1,7/17/13,61,56+,8,0,$279.00 ,$83.00 ,$88.00 ,$32.00 ,$14.00 ,$34.00 ,1,0,0,0,0,0,0,0,4,2,10,3,,
234,1979,Graduation,Divorced,"$15,287.00 ",1,0,10/10/12,47,46-55,60,0,$1.00 ,$2.00 ,$8.00 ,$4.00 ,$3.00 ,$13.00 ,2,0,0,1,0,0,1,2,1,1,2,7,,
236,1951,Graduation,Married,"$34,838.00 ",1,1,1/19/13,75,56+,62,0,$28.00 ,$23.00 ,$29.00 ,$29.00 ,$14.00 ,$47.00 ,3,0,0,0,0,0,0,0,2,1,4,6,,
238,1967,2n Cycle,Together,"$67,309.00 ",1,1,1/23/13,59,56+,76,0,$515.00 ,$47.00 ,$181.00 ,$149.00 ,$95.00 ,$95.00 ,15,0,0,0,0,0,0,0,9,6,9,7,,
241,1952,Graduation,Together,"$83,844.00 ",0,0,12/5/13,74,56+,57,0,$901.00 ,$31.00 ,$345.00 ,$75.00 ,$31.00 ,$191.00 ,1,0,0,0,0,1,0,1,4,4,11,1,,
246,1965,Graduation,Married,"$66,480.00 ",1,1,5/31/14,61,56+,71,0,$199.00 ,$9.00 ,$57.00 ,$20.00 ,$21.00 ,$6.00 ,7,0,0,0,0,0,0,0,4,1,7,4,,
247,1971,Graduation,Married,"$36,715.00 ",1,0,11/17/12,55,46-55,16,0,$172.00 ,$10.00 ,$125.00 ,$21.00 ,$13.00 ,$16.00 ,6,0,0,0,0,0,1,1,7,2,4,9,,
252,1963,PhD,Divorced,"$41,003.00 ",0,0,3/17/13,63,56+,11,0,$123.00 ,$133.00 ,$142.00 ,$71.00 ,$44.00 ,$88.00 ,1,0,0,0,0,0,0,0,6,2,8,6,,
254,1955,Graduation,Together,"$53,863.00 ",0,1,5/17/14,71,56+,4,0,$399.00 ,$4.00 ,$30.00 ,$6.00 ,$4.00 ,$30.00 ,3,0,0,0,1,0,0,1,7,1,7,7,,
255,1951,Graduation,Divorced,"$22,263.00 ",1,1,3/30/14,75,56+,31,1,$17.00 , $-   ,$2.00 , $-   , $-   ,$2.00 ,2,0,0,0,0,0,0,0,1,0,3,6,,
257,1959,PhD,Married,"$75,032.00 ",0,1,4/28/13,67,56+,74,0,$952.00 ,$12.00 ,$180.00 ,$47.00 ,$12.00 ,$12.00 ,2,0,0,0,0,0,0,0,5,4,9,3,,
263,1945,PhD,Single,"$45,576.00 ",0,0,5/28/14,81,56+,9,0,$56.00 ,$19.00 ,$29.00 ,$2.00 ,$14.00 ,$25.00 ,1,0,0,0,0,0,1,1,3,1,3,8,,
