"ID","Year_Birth","Education","Marital_Status","Income","Kidhome","Teenhome","Dt_Customer","Recency","Complain","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","AcceptedCmp1","AcceptedCmp2","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","Response","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","Income","Z_CostContact","Z_Revenue","Response_Total","Age","Age_Group"
0,1985,Graduation,Married,,0,0,"04-05-2013",66,0,239,10,554,254,87,54,1,0,0,0,0,0,0,3,4,9,1," $70,951.00 ","","","0",41,"36-45"
1,1961,Graduation,Single,,0,0,"06-15-2014",0,0,464,5,64,7,0,37,1,0,1,0,0,0,1,7,3,7,5," $57,091.00 ","","","2",65,"56+"
9,1975,Master,Single,,1,1,"08-18-2012",86,0,57,0,27,0,0,36,4,0,0,0,0,0,0,3,2,2,8," $46,098.00 ","","","0",51,"46-55"
13,1947,PhD,Widow,,0,1,"07-22-2013",57,0,19,0,5,0,0,8,2,0,0,0,0,0,0,1,0,3,6," $25,358.00 ","","","0",79,"56+"
17,1971,PhD,Married,,0,1,"06-09-2013",81,0,637,47,237,12,19,76,4,0,0,0,0,0,0,6,11,7,5," $60,491.00 ","","","0",55,"46-55"
20,1965,"2n Cycle",Married,,0,1,"01-09-2013",91,0,43,12,23,29,15,61,1,0,0,0,0,0,0,2,1,4,4," $46,891.00 ","","","0",61,"56+"
22,1976,Graduation,Divorced,,1,0,"03-12-2012",99,0,185,2,88,15,5,14,2,0,0,0,0,0,0,6,1,5,8," $46,310.00 ","","","0",50,"46-55"
24,1960,Master,Together,,1,1,"02-15-2014",96,0,18,2,19,0,2,6,5,0,0,0,0,0,0,3,0,4,7," $17,144.00 ","","","0",66,"56+"
25,1958,Graduation,Married,,0,1,"11-16-2012",9,0,460,35,422,33,12,153,2,0,0,0,0,0,0,6,6,7,4," $65,148.00 ","","","0",68,"56+"
35,1987,Graduation,Married,,1,0,"08-09-2012",35,0,32,1,64,16,12,85,3,0,0,0,0,0,1,2,2,3,6," $25,545.00 ","","","1",39,"36-45"
