,count,mean,std,min,25%,50%,75%,max,Median,Skewness
Year_Birth,2236.0,1968.796511627907,11.980603503540086,1893.0,1959.0,1970.0,1977.0,1996.0,1970.0,-0.35184430036072734
Income,2212.0,52232.51084990959,25187.4553590099,1730.0,35233.5,51381.5,68522.0,666666.0,51381.5,6.765274253646768
Kidhome,2236.0,0.44499105545617174,0.5385513337369497,0.0,0.0,0.0,1.0,2.0,0.0,0.6324580410240966
Teenhome,2236.0,0.5062611806797853,0.5446146117928642,0.0,0.0,0.0,1.0,2.0,0.0,0.40766291329742077
Age,2236.0,57.20348837209303,11.980603503540086,30.0,49.0,56.0,67.0,133.0,56.0,0.351844300360729
NumWebPurchases,2236.0,4.082737030411449,2.779736009335968,0.0,2.0,4.0,6.0,27.0,4.0,1.3849892969429412
NumCatalogPurchases,2236.0,2.6592128801431127,2.9207519652235994,0.0,0.0,2.0,4.0,28.0,2.0,1.8846619544805439
NumStorePurchases,2236.0,5.7893559928443645,3.253756161732665,0.0,3.0,5.0,8.0,13.0,5.0,0.7024176169613816
NumWebVisitsMonth,2236.0,5.317531305903399,2.4247560612387193,0.0,3.0,6.0,7.0,20.0,6.0,0.20998851502115456
Response_Total,2236.0,0.4458855098389982,0.8895244554864749,0.0,0.0,0.0,1.0,5.0,0.0,2.446563380802078
